"Record Date","Debt Outstanding Amount"
"1950-06-30","257357352351.04"
"1949-06-30","252770359860.33"
"1948-06-30","252292246512.99"
"1947-06-30","258286383108.67"
"1946-06-28","269422099173.26"
"1945-06-30","258682187409.93"
"1944-06-30","201003387221.13"
"1943-06-30","136696090329.90"
"1942-06-30","72422445116.22"
"1941-06-30","48961443535.71"
"1940-06-29","42967531037.68"
"1939-06-30","40439532411.11"
"1938-06-30","37164740315.45"
"1937-06-30","36424613732.29"
"1936-06-30","33778543493.73"
"1935-06-29","28700892624.53"
"1934-06-30","27053141414.48"
"1933-06-30","22538672560.15"
"1932-06-30","19487002444.13"
"1931-06-30","16801281491.71"
"1930-06-30","16185309831.43"
"1929-06-29","16931088484.10"
"1928-06-30","17604293201.43"
"1927-06-30","18511906931.85"
"1926-06-30","19643216315.19"
"1925-06-30","20516193887.90"
"1924-06-30","21250812989.49"
"1923-06-30","22349707365.36"
"1922-06-30","22963381708.31"
"1921-06-30","23977450552.54"
"1920-07-01","25952456406.16"
"1919-07-01","27390970113.12"
"1918-07-01","14592161414.00"
"1917-07-01","5717770279.52"
"1916-07-01","3609244262.16"
"1915-07-01","3058136873.16"
"1914-07-01","2912499269.16"
"1913-07-01","2916204913.66"
"1912-07-01","2868373874.16"
"1911-07-01","2765600606.69"
"1910-07-01","2652665838.04"
"1909-07-01","2639546241.04"
"1908-07-01","2626806271.54"
"1907-07-01","2457188061.54"
"1906-07-01","2337161839.04"
"1905-07-01","2274615063.84"
"1904-07-01","2264003585.14"
"1903-07-01","2202464781.89"
"1902-07-01","2158610445.89"
"1901-07-01","2143326933.89"
"1900-07-01","2136961091.67"
"1899-07-01","1991927306.92"
"1898-07-01","1796531995.90"
"1897-07-01","1817672665.90"
"1896-07-01","1769840323.40"
"1895-07-01","1676120983.25"
"1894-07-01","1632253636.68"
"1893-07-01","1545985686.13"
"1892-07-01","1588464144.63"
"1891-07-01","1545996591.61"
"1890-07-01","1552140204.73"
"1889-07-01","1619052922.23"
"1888-07-01","1692858984.58"
"1887-07-01","1657602592.63"
"1886-07-01","1775063013.78"
"1885-07-01","1863964873.14"
"1884-07-01","1830528923.57"
"1883-07-01","1884171728.07"
"1882-07-01","1918312994.03"
"1881-07-01","2069013569.58"
"1880-07-01","2120415370.63"
"1879-07-01","2349567482.04"
"1878-07-01","2256205892.53"
"1877-07-01","2205301392.10"
"1876-07-01","2180395067.15"
"1875-07-01","2232284531.95"
"1874-07-01","2251690468.43"
"1873-07-01","2234482993.20"
"1872-07-01","2253251328.78"
"1871-07-01","2353211332.32"
"1870-07-01","2480672427.81"
"1869-07-01","2588452213.94"
"1868-07-01","2611687851.19"
"1867-07-01","2678126103.87"
"1866-07-01","2773236173.69"
"1865-07-01","2680647869.74"
"1864-07-01","1815784370.57"
"1863-07-01","1119772138.63"
"1862-07-01","524176412.13"
"1861-07-01","90580873.72"
"1860-07-01","64842287.88"
"1859-07-01","58496837.88"
"1858-07-01","44911881.03"
"1857-07-01","28699831.85"
"1856-07-01","31972537.90"
"1855-07-01","35586956.56"
"1854-07-01","42242222.42"
"1853-07-01","59803117.70"
"1852-07-01","66199341.71"
"1851-07-01","68304796.02"
"1850-07-01","63452773.55"
"1849-07-01","63061858.69"
"1848-07-01","47044862.23"
"1847-07-01","38826534.77"
"1846-07-01","15550202.97"
"1845-07-01","15925303.01"
"1844-07-01","23461652.50"
"1843-07-01","32742922.00"
"1843-01-01","20201226.27"
"1842-01-01","13594480.73"
"1841-01-01","5250875.54"
"1840-01-01","3573343.82"
"1839-01-01","10434221.14"
"1838-01-01","3308124.07"
"1837-01-01","336957.83"
"1836-01-01","37513.05"
"1835-01-01","33733.05"
"1834-01-01","4760082.08"
"1833-01-01","7001698.83"
"1832-01-01","24322235.18"
"1831-01-01","39123191.68"
"1830-01-01","48565406.50"
"1829-01-01","58421413.67"
"1828-01-01","67475043.87"
"1827-01-01","73987357.20"
"1826-01-01","81054059.99"
"1825-01-01","83788432.71"
"1824-01-01","90269777.77"
"1823-01-01","90875877.28"
"1822-01-01","93546676.98"
"1821-01-01","89987427.66"
"1820-01-01","91015566.15"
"1819-01-01","95529648.28"
"1818-01-01","103466633.83"
"1817-01-01","123491965.16"
"1816-01-01","127334933.74"
"1815-01-01","99833660.15"
"1814-01-01","81487846.24"
"1813-01-01","55962827.57"
"1812-01-01","45209737.90"
"1811-01-01","48005587.76"
"1810-01-01","53173217.52"
"1809-01-01","57023192.09"
"1808-01-01","65196317.97"
"1807-01-01","69218398.64"
"1806-01-01","75723270.66"
"1805-01-01","82312150.50"
"1804-01-01","86427120.88"
"1803-01-01","77054686.40"
"1802-01-01","80712632.25"
"1801-01-01","83038050.80"
"1800-01-01","82976294.35"
"1799-01-01","78408669.77"
"1798-01-01","79228529.12"
"1797-01-01","82064479.33"
"1796-01-01","83762172.07"
"1795-01-01","80747587.39"
"1794-01-01","78427404.77"
"1793-01-01","80358634.04"
"1792-01-01","77227924.66"
"1791-01-01","75463476.52"
"1790-01-01","71060508.50"
